%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
11000000000,0.0,0.0,0.0,0.0,0.0,0.0
11200000000,0.03379395827137937,0.3920649158869154,0.0,0.0,0.0,0.0
11400000000,0.023618471717303725,0.27401271117343384,0.0,0.0,0.0,0.0
11600000000,0.02357740673886277,0.399304527762296,0.0,0.0,0.0,0.0
11800000000,0.02357740673886277,0.399304527762296,0.0,0.0,0.0,0.0
12000000000,0.02357740673886277,0.399304527762296,0.0,0.0,0.0,0.0
12200000000,0.02357740673886277,0.399304527762296,0.0,0.0,0.0,0.0
12400000000,0.02357740673886277,0.399304527762296,0.0,0.0,0.0,0.0
12600000000,0.02357740673886277,0.399304527762296,0.0,0.0,0.0,0.0
12800000000,0.02357740673886277,0.399304527762296,0.0,0.0,0.0,0.0
13000000000,0.02357740673886277,0.399304527762296,0.0,0.0,0.0,0.0
13200000000,0.02357740673886277,0.399304527762296,0.0,0.0,0.0,0.0
13400000000,0.02357740673886277,0.399304527762296,0.0,0.0,0.0,0.0
13600000000,0.02357740673886277,0.399304527762296,0.0,0.0,0.0,0.0
13800000000,0.02357740673886277,0.399304527762296,0.0,0.0,0.0,0.0
14000000000,0.023577406738862768,0.399304527762296,0.0,0.0,0.0,0.0
14200000000,0.02357740673886277,0.399304527762296,0.0,0.0,0.0,0.0
14400000000,0.02357740673886277,0.399304527762296,0.0,0.0,0.0,0.0
14600000000,0.02357740673886277,0.399304527762296,0.0,0.0,0.0,0.0
14800000000,-0.26237057785044005,0.2094919892100834,0.0,0.0,0.0,0.0
15000000000,-0.255554621165514,-0.22427817177085405,0.0,0.0,0.0,0.0
15200000000,-0.042057672416503385,0.1556838441810996,0.0,0.0,0.0,0.0
15400000000,0.04046221906157181,0.1749616255465842,0.0,0.0,0.0,0.0
15600000000,0.0,0.0,0.0,0.0,0.0,0.13863046083157485
15800000000,0.03713849726931834,0.30144424498722255,0.0,0.0,0.0,0.0
16000000000,0.00831503423806658,0.39991356591846167,0.0,0.0,0.0,0.0
16200000000,0.008938384226225494,0.3999001191390475,0.0,0.0,0.0,0.0
16400000000,0.00921305614165021,0.39989388542028353,0.0,0.0,0.0,0.0
16600000000,0.0,0.28355798240141944,0.0,0.0,0.0,0.0
16800000000,0.0,0.4,0.0,0.0,0.0,0.0
17000000000,0.0,0.4,0.0,0.0,0.0,0.0
