%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
17200000000,0.0,0.2700231049855043,0.0,0.0,0.0,0.0
17400000000,0.044891759769192345,0.397472929776136,0.0,0.0,0.0,0.0
17600000000,0.04719510340563118,0.39720601986189963,0.0,0.0,0.0,0.0
17800000000,0.058663631893756216,0.39567483909522716,0.0,0.0,0.0,0.0
18000000000,0.058231693648071244,0.3957386383143263,0.0,0.0,0.0,0.0
18200000000,0.059177173115036334,0.39559835968076645,0.0,0.0,0.0,0.0
18400000000,0.05714626337945153,0.3958968357814525,0.0,0.0,0.0,0.0
18600000000,0.0,0.0,0.0,0.0,0.0,0.0
18800000000,0.0,0.0,0.0,0.0,0.0,0.0
19000000000,0.0,0.0,0.0,0.0,0.0,0.0
19200000000,0.0,0.0,0.0,0.0,0.0,0.0
19400000000,0.0,0.0,0.0,0.0,0.0,0.0
19600000000,0.0,0.0,0.0,0.0,0.0,0.0
19800000000,0.0,0.0,0.0,0.0,0.0,0.0
20000000000,0.0,0.0,0.0,0.0,0.0,0.0
20200000000,0.0,0.0,0.0,0.0,0.0,0.0
20400000000,0.0,0.0,0.0,0.0,0.0,0.0
20600000000,0.0,0.0,0.0,0.0,0.0,0.0
20800000000,0.0,0.0,0.0,0.0,0.0,0.0
21000000000,0.0,0.0,0.0,0.0,0.0,0.0
21200000000,0.0,0.0,0.0,0.0,0.0,0.0
21400000000,0.0,0.0,0.0,0.0,0.0,0.0
21600000000,0.0,0.0,0.0,0.0,0.0,0.0
21800000000,0.0,0.0,0.0,0.0,0.0,0.0
22000000000,0.0,0.0,0.0,0.0,0.0,0.0
22200000000,0.0,0.0,0.0,0.0,0.0,0.0
22600000000,-0.004808101784946536,-0.3062050821255981,0.0,0.0,0.0,0.0
22800000000,-0.0009118346094071228,-0.3999989606957062,0.0,0.0,0.0,0.0
23000000000,-0.0008081493521827501,-0.39999918361744763,0.0,0.0,0.0,0.0
23200000000,-0.0008808857649166244,-0.3999990300491605,0.0,0.0,0.0,0.0
23400000000,-0.0008535034120452258,-0.3999990894138706,0.0,0.0,0.0,0.0
23600000000,-0.0009234388784731284,-0.3999989340743769,0.0,0.0,0.0,0.0
23800000000,-0.0008962933604226291,-0.39999899582150467,0.0,0.0,0.0,0.0
24000000000,-0.0009956787085114232,-0.39999876077796714,0.0,0.0,0.0,0.0
24200000000,-0.0009564680155300702,-0.3999988564595345,0.0,0.0,0.0,0.0
24400000000,-0.0010458800283585756,-0.3999986326663709,0.0,0.0,0.0,0.0
24600000000,-0.0008574219925195835,-0.3999990810333528,0.0,0.0,0.0,0.0
24800000000,-0.0009831290829463138,-0.39999879181968323,0.0,0.0,0.0,0.0
25000000000,-0.0009364583766094157,-0.399998903805634,0.0,0.0,0.0,0.0
25200000000,-0.001049837131641032,-0.39999862230012373,0.0,0.0,0.0,0.0
25400000000,-0.000793094973365033,-0.39999921374968134,0.0,0.0,0.0,0.0
25600000000,-0.0009480656860647985,-0.3999988764627407,0.0,0.0,0.0,0.0
25800000000,-0.0008862635948357926,-0.3999990181698456,0.0,0.0,0.0,0.0
26000000000,-0.0007052168944571098,-0.3999993783359317,0.0,0.0,0.0,0.0
26200000000,-0.0006310600389313712,-0.3999995022037243,0.0,0.0,0.0,0.0
26400000000,-0.000873783140977985,-0.39999904562763966,0.0,0.0,0.0,0.0
26600000000,-0.0007532024032485303,-0.3999992908570461,0.0,0.0,0.0,0.0
26800000000,-0.0007532024032485303,-0.3999992908570461,0.0,0.0,0.0,0.0
27000000000,0.0,-0.4,0.0,0.0,0.0,0.0
27200000000,0.0,-0.4,0.0,0.0,0.0,0.0
27400000000,0.0,-0.4,0.0,0.0,0.0,0.0
27600000000,0.0,-0.4,0.0,0.0,0.0,0.0
27800000000,0.0,-0.4,0.0,0.0,0.0,0.0
28000000000,0.0,-0.4,0.0,0.0,0.0,0.0
28200000000,0.0,-0.4,0.0,0.0,0.0,0.0
28400000000,0.0,0.0,0.0,0.0,0.0,0.0
28600000000,0.0,0.0,0.0,0.0,0.0,0.0
28800000000,0.0,0.0,0.0,0.0,0.0,0.0
29000000000,0.0,0.0,0.0,0.0,0.0,0.0
29200000000,0.0,0.0,0.0,0.0,0.0,0.0
29400000000,0.0,0.0,0.0,0.0,0.0,0.0
29800000000,-0.03968667859827965,0.3979052067968421,0.0,0.0,0.0,0.0
30000000000,-0.0274001817981231,0.27471875676502877,0.0,0.0,0.0,0.0
30200000000,-0.07829732653046441,0.39226206630030114,0.0,0.0,0.0,0.0
30400000000,-0.04711923408672556,0.23991813759659414,0.0,0.0,0.0,0.0
30600000000,-0.10368937237619237,0.38632695227777125,0.0,0.0,0.0,0.0
30800000000,-0.06067074194765901,0.22433971118651844,0.0,0.0,0.0,0.0
31000000000,-0.11630351034972751,0.3827185564880946,0.0,0.0,0.0,0.0
31200000000,-0.06676612685913381,0.21783493616540048,0.0,0.0,0.0,0.0
31400000000,-0.1209750769768362,0.38126766287012664,0.0,0.0,0.0,0.0
31600000000,-0.06879647427840833,0.2153628658953881,0.0,0.0,0.0,0.0
31800000000,-0.12120103871648058,0.381195892178872,0.0,0.0,0.0,0.0
32000000000,-0.06835895356929753,0.22866259082657278,0.0,0.0,0.0,0.0
32200000000,-0.1264411972227506,0.37948995196826685,0.0,0.0,0.0,0.0
32400000000,-0.07296720495545903,0.2182955657159992,0.0,0.0,0.0,0.0
32600000000,-0.12699970239645222,0.3793034083569677,0.0,0.0,0.0,0.0
32800000000,-0.07202216729649728,0.22264924029656635,0.0,0.0,0.0,0.0
33000000000,-0.1300462308900208,0.3782697157205417,0.0,0.0,0.0,0.0
33200000000,-0.0749591002669397,0.2157686189999461,0.0,0.0,0.0,0.0
33400000000,-0.1331113853446901,0.377202013636748,0.0,0.0,0.0,0.0
33600000000,-0.07960138621719527,0.20604518978680592,0.0,0.0,0.0,0.0
33800000000,-0.13803162249324574,0.37542944902056113,0.0,0.0,0.0,0.0
34000000000,-0.07604547380858823,0.21007316597303957,0.0,0.0,0.0,0.0
34200000000,-0.13459192733063333,0.3766762709508332,0.0,0.0,0.0,0.0
34400000000,-0.17869304732287372,0.35786700719466336,0.0,0.0,0.0,0.0
34600000000,-0.1027421440226417,0.3314533535778514,0.0,0.0,0.0,0.0
34800000000,-0.1383666182516536,0.3753061136640345,0.0,0.0,0.0,0.0
35000000000,-0.07282643682901786,0.2630713737388527,0.0,0.0,0.0,0.0
35200000000,0.0,0.0,0.0,0.0,0.0,0.5
35400000000,0.0,0.0,0.0,0.0,0.0,0.5
35600000000,0.0,0.0,0.0,0.0,0.0,0.5
35800000000,0.0,0.0,0.0,0.0,0.0,0.5
36000000000,0.0,0.0,0.0,0.0,0.0,0.5
